Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-26 18:15:48,false,"Norrköping Running","7.30","450","00:42:53","165","187","3.2","166","181","5:52","4:22","42","49","1.02","0.0","0.0","0.0","0.0","0.0","42:53","0:00","0.0","0:00","No","00:00.79","9","0.0"
Running,2020-10-26 17:47:19,false,"Norrköping Running","4.05","223","00:25:09","147","167","2.2","165","175","6:13","5:34","12","--","0.98","0.0","0.0","0.0","0.0","0.0","25:09","0:00","0.0","0:00","No","25:09.24","1","0.0"
Running,2020-10-24 12:35:33,false,"Norrköping Running","5.16","286","00:30:04","154","170","2.5","165","177","5:50","5:11","62","60","1.04","0.0","0.0","0.0","0.0","0.0","30:04","0:00","0.0","0:00","No","30:03.57","1","0.0"
Cycling,2020-10-23 12:08:22,false,"Norrköping Cycling","21.84","615","01:01:29","163","203","3.7","--","--","21.3","31.7","90","83","0.00","0.0","0.0","0.0","0.0","0.0","1:01:29","0:00","0.0","0:00","No","04:14.34","5","0.0"
Running,2020-10-22 07:32:14,false,"Norrköping Running","4.55","300","00:30:03","154","170","2.5","164","175","6:36","5:42","19","14","0.92","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","30:02.54","1","0.0"
Running,2020-10-13 19:08:40,false,"Norrköping Running","2.52","154","00:15:04","153","184","2.2","170","177","5:58","5:25","11","9","0.98","0.0","0.0","0.0","0.0","0.0","15:04","0:00","0.0","0:00","No","15:03.66","1","0.0"
Running,2020-10-13 17:33:00,false,"Norrköping Running","9.33","467","00:51:00","153","177","2.9","171","189","5:28","3:42","8","15","1.07","0.0","0.0","0.0","0.0","0.0","51:00","0:00","0.0","0:00","No","01:08.08","7","0.0"
Running,2020-10-12 17:35:12,false,"Norrköping Running","13.35","742","01:31:43","147","175","2.5","162","197","6:52","4:58","59","105","0.90","0.0","0.0","0.0","0.0","0.0","1:31:43","0:00","0.0","0:00","No","01:31:42.88","1","0.0"
Running,2020-10-11 14:49:05,false,"Orebro Running","1.67","96","00:09:59.8","147","159","1.8","171","180","5:59","5:16","--","--","0.98","0.0","0.0","0.0","0.0","0.0","9:59.8","0:00","0.0","0:00","No","09:59.80","1","0.0"
Running,2020-10-11 14:25:00,false,"Orebro Running","3.59","198","00:16:55","172","192","2.9","178","198","4:43","3:28","2","2","1.20","0.0","0.0","0.0","0.0","0.0","16:55","0:00","0.0","0:00","No","16:54.79","1","0.0"
Running,2020-10-11 13:52:02,false,"Orebro Running","2.69","150","00:16:35","145","169","2.0","161","184","6:10","3:20","--","3","1.00","0.0","0.0","0.0","0.0","0.0","16:35","0:00","0.0","0:00","No","02:32.69","2","0.0"
Running,2020-10-10 15:23:00,false,"Orebro Running","1.83","108","00:11:31","147","168","1.9","164","173","6:17","5:29","--","1","0.97","0.0","0.0","0.0","0.0","0.0","11:31","0:00","0.0","0:00","No","11:30.57","1","0.0"
Running,2020-10-10 15:04:50,false,"Orebro Running","3.24","169","00:14:47","171","187","2.7","177","193","4:33","3:05","3","1","1.23","0.0","0.0","0.0","0.0","0.0","14:47","0:00","0.0","0:00","No","00:43.90","2","0.0"
Running,2020-10-10 14:53:30,false,"Orebro Running","0.89","56","00:05:45.6","150","166","1.6","165","177","6:29","4:20","--","--","0.93","0.0","0.0","0.0","0.0","0.0","5:45.6","0:00","0.0","0:00","No","05:45.59","1","0.0"
Running,2020-10-10 14:35:24,false,"Orebro Running","2.11","119","00:12:00","152","171","2.1","167","179","5:40","2:46","--","1","1.05","0.0","0.0","0.0","0.0","0.0","12:00","0:00","0.0","0:00","No","12:00.11","1","0.0"
Running,2020-10-10 10:15:46,false,"Orebro Running","6.16","305","00:33:13","151","169","2.4","171","191","5:23","3:25","4","2","1.08","0.0","0.0","0.0","0.0","0.0","33:13","0:00","0.0","0:00","No","15:08.39","2","0.0"
Running,2020-10-10 09:47:24,false,"Orebro Running","3.18","177","00:18:51","152","174","2.2","165","235","5:55","3:44","4","2","1.02","0.0","0.0","0.0","0.0","0.0","18:51","0:00","0.0","0:00","No","06:33.67","2","0.0"
Running,2020-10-07 13:34:30,false,"Norrköping Running","3.71","192","00:20:26","164","187","2.7","168","191","5:31","3:48","10","16","1.09","0.0","0.0","0.0","0.0","0.0","20:26","0:00","0.0","0:00","No","00:15.00","32","0.0"
Running,2020-10-07 13:14:40,false,"Norrköping Running","3.29","174","00:19:32","160","175","2.6","166","191","5:56","4:13","17","11","1.01","0.0","0.0","0.0","0.0","0.0","19:32","0:00","0.0","0:00","No","00:01.39","33","0.0"
Running,2020-10-06 18:27:17,false,"Norrköping Running","13.56","589","01:20:11","145","169","2.3","169","191","5:55","4:29","59","69","1.00","0.0","0.0","0.0","0.0","0.0","1:20:11","0:00","0.0","0:00","No","01:20:11.07","1","0.0"
Running,2020-10-04 10:54:48,false,"Norrköping Running","2.62","154","00:18:16","142","163","2.0","161","173","6:58","5:56","10","16","0.89","0.0","0.0","0.0","0.0","0.0","18:16","0:00","0.0","0:00","No","18:15.52","1","0.0"
Running,2020-10-04 10:32:50,false,"Norrköping Running","3.44","199","00:18:11","171","190","3.0","175","194","5:17","3:48","20","17","1.08","0.0","0.0","0.0","0.0","0.0","18:11","0:00","0.0","0:00","No","00:26.39","2","0.0"
Running,2020-10-04 10:29:33,false,"Norrköping Running","0.09","3","00:00:30.2","130","151","1.0","165","171","5:53","4:01","--","--","1.03","0.0","0.0","0.0","0.0","0.0","0:30.2","0:00","0.0","0:00","No","00:30.18","1","0.0"
Running,2020-10-04 10:11:37,false,"Norrköping Running","2.46","134","00:15:13","146","170","2.1","164","178","6:10","4:23","--","2","0.99","0.0","0.0","0.0","0.0","0.0","15:13","0:00","0.0","0:00","No","15:12.98","1","0.0"
Running,2020-10-03 13:41:18,false,"Norrköping Running","6.30","376","00:35:01","166","190","3.5","172","182","5:33","5:03","19","30","1.05","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","35:01.05","1","0.0"
Running,2020-10-02 13:00:27,false,"Norrköping Running","6.20","291","00:35:01","145","172","2.2","170","191","5:39","4:01","10","7","1.04","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","35:01.31","1","0.0"
